timestamps,TP9,AF7,AF8,TP10,Right AUX
1865.845,340.332,-187.5,-7.812,62.012,632.324
1865.849,-0.977,105.957,4.395,25.391,206.055
1865.853,-397.949,269.531,-0.977,-28.32,-341.797
1865.857,-156.738,203.125,0.977,-13.184,-267.578
1865.861,247.559,358.398,34.18,13.672,-129.883
1865.865,59.57,342.285,57.129,-25.391,-145.996
1865.867,-446.289,129.883,56.641,-105.469,-196.289
1865.871,-426.758,117.188,73.242,-130.371,-234.863
1865.874,-0.977,400.391,104.004,-137.207,-181.152
1865.878,-34.18,467.773,113.281,-172.852,-122.07
1865.882,-520.996,308.594,116.699,-226.562,-152.832
1865.886,-628.418,259.277,124.023,-288.086,-128.418
1865.89,-270.996,463.379,138.184,-286.133,0.488
1865.894,-142.09,584.473,142.578,-273.438,22.461
1865.898,-500.488,438.965,127.441,-293.945,0
1865.902,-783.691,207.52,114.746,-315.43,320.312
1865.906,-465.82,580.078,118.164,-297.852,167.48
1865.91,-82.52,868.164,108.887,-249.512,-151.855
1865.912,-352.051,622.07,82.031,-250,-109.863
1865.916,-769.043,569.336,69.824,-272.461,-150.879
1865.92,-576.66,562.5,72.266,-249.512,-62.012
1865.924,-129.395,625,70.312,-211.914,-46.875
1865.928,-217.285,499.023,62.5,-185.059,111.816
1865.932,-654.785,360.352,59.57,-183.105,219.727
1865.936,-647.461,538.086,57.617,-174.805,-55.664
1865.939,-149.902,656.25,49.316,-131.348,-179.199
1865.943,-54.199,317.871,28.32,-91.797,82.52
1865.947,-489.746,204.102,21.973,-78.125,236.328
1865.951,-629.883,591.309,30.273,-85.938,-164.551
1865.955,-219.727,525.879,22.461,-39.062,-204.102
1865.957,47.852,418.945,13.672,14.16,-86.426
1865.961,-286.621,409.18,11.719,-0.977,-198.242
1865.964,-609.863,365.234,6.836,-13.672,-243.164
1865.968,-320.312,311.035,1.465,17.09,-100.586
1865.972,96.191,292.969,-1.465,53.711,-2.441
1865.976,-130.859,290.527,0.977,48.828,40.527
1865.98,-571.289,234.375,0,11.23,40.527
1865.984,-414.551,119.629,-0.977,20.996,89.355
1865.988,189.941,137.695,10.254,84.473,341.797
1865.992,258.301,413.574,15.137,79.102,121.094
1865.996,-287.109,311.035,0.977,43.457,-166.504
1866,-408.203,93.262,-5.859,49.316,32.227
1866.002,46.387,287.109,3.418,90.332,52.734
1866.006,146.973,479.492,6.836,92.285,-151.367
1866.01,-325.684,258.301,0.488,55.664,-128.906
1866.014,-538.574,6.348,0.488,47.852,98.145
1866.018,-158.203,242.188,5.371,63.965,183.105
1866.022,132.812,432.617,10.742,100.098,78.125
1866.026,-220.215,269.531,10.742,84.473,27.344
1866.029,-563.477,-30.273,-4.883,41.504,177.734
1866.033,-281.738,116.211,-0.977,52.734,220.215
1866.037,148.926,590.332,12.695,78.613,-69.824
1866.041,-54.688,419.922,-3.906,53.223,-108.398
1866.045,-536.133,239.746,-12.695,30.762,-133.789
1866.049,-443.359,290.039,-12.207,59.57,-182.129
1866.053,43.945,439.453,-13.672,87.891,-145.996
1866.057,22.949,381.348,-22.461,86.914,-90.82
1866.061,-469.727,187.5,-29.297,44.922,-10.742
1866.065,-526.855,283.691,-22.949,28.32,-160.156
1866.069,-83.496,304.199,-26.855,59.57,-238.77
1866.073,99.609,165.039,-35.156,83.008,2.441
1866.077,-335.449,-52.734,-37.109,42.969,132.324
1866.081,-578.125,197.266,-24.902,-5.371,-224.121
1866.085,-125.488,394.531,-15.137,26.855,-342.773
1866.088,178.223,297.363,-7.812,82.031,-131.348
1866.092,-140.625,276.367,-4.395,55.664,-66.406
1866.093,-509.277,276.367,-5.859,24.414,-167.48
1866.097,-249.023,275.391,-4.395,51.27,-132.812
1866.101,237.305,216.309,-2.93,80.566,42.48
1866.105,2.441,158.203,-6.348,49.316,32.227
1866.109,-520.508,166.992,-6.836,-1.953,-67.871
1866.113,-434.57,200.195,-2.441,-13.672,-127.441
1866.117,61.035,39.062,-7.324,20.02,114.746
1866.121,108.887,-103.516,-9.277,37.109,474.609
1866.125,-343.262,260.742,4.883,-21.484,109.375
1866.128,-506.836,309.082,6.348,-51.27,-253.418
1866.132,-97.656,241.211,10.742,-16.113,-133.301
1866.136,130.371,375,24.902,13.672,-53.711
1866.139,-261.23,264.16,28.32,1.953,-149.902
1866.143,-515.137,56.152,21.484,-13.184,-191.406
1866.147,-202.148,65.918,24.414,7.324,-121.582
1866.15,137.207,236.328,33.203,71.289,-93.75
1866.154,-103.516,170.41,29.297,67.871,-126.465
1866.158,-514.648,-103.516,20.02,34.668,73.73
1866.162,-379.395,-223.633,15.625,34.668,252.441
1866.166,158.203,41.504,36.133,51.27,-11.719
1866.17,113.77,202.637,48.828,59.57,-219.727
1866.174,-436.035,-89.355,33.203,20.508,0.488
1866.178,-408.203,-189.453,34.18,-0.488,203.125
1866.182,38.574,207.52,49.316,15.625,-64.941
1866.197,80.078,190.43,40.527,0.977,-232.91
1866.201,-347.168,-31.25,28.32,-38.086,-198.73
1866.205,-529.785,-91.797,29.785,-34.668,-129.883
1866.209,-102.539,72.266,39.062,-8.789,-77.148
1866.213,132.324,219.727,45.898,7.812,-112.793
1866.217,-302.734,-146.484,36.621,21.484,292.969
1866.22,-637.695,-305.664,24.414,-6.836,573.242
1866.224,-318.359,93.75,32.227,-40.039,102.051
1866.228,57.129,207.52,44.434,12.207,-158.203
1866.232,-159.668,-98.145,39.551,40.039,76.172
1866.236,-569.824,-87.402,39.551,15.137,51.758
1866.24,-442.383,195.801,56.641,8.301,-213.867
1866.242,55.664,125.488,64.941,52.246,-140.625
1866.246,-55.664,40.039,59.57,63.477,-107.422
1866.25,-571.289,66.895,57.129,45.898,-171.387
1866.254,-584.473,83.008,60.059,51.758,-199.219
1866.258,-204.59,19.043,59.57,50.293,-127.93
1866.262,-85.449,-11.719,61.523,52.734,34.668
1866.266,-496.582,-49.316,57.129,45.41,-41.016
1866.27,-668.457,1.953,58.594,16.602,-258.789
1866.274,-262.207,-18.555,57.617,44.922,-82.52
1866.277,-4.395,-176.27,45.41,60.547,297.363
1866.281,-310.547,128.418,55.176,23.926,123.535
1866.285,-728.027,195.312,53.223,-10.254,-150.391
1866.287,-481.445,-57.617,43.457,-19.043,13.672
1866.291,21.484,15.625,50.293,17.578,42.969
1866.295,-208.496,70.312,55.664,13.672,-88.867
1866.299,-736.328,-59.082,51.758,-18.066,-140.137
1866.303,-656.25,-159.668,46.387,3.906,8.301
1866.307,-233.398,-87.891,48.34,32.715,169.434
1866.31,-235.352,122.07,52.246,21.484,-5.859
1866.314,-611.328,109.863,45.898,-6.836,-177.734
1866.318,-729.492,-228.027,36.621,0.977,1.465
1866.322,-341.309,-107.91,52.734,30.762,116.699
1866.326,-111.328,307.617,63.477,26.855,-166.992
1866.33,-515.625,52.734,44.922,-5.859,-119.141
1866.332,-784.18,-81.543,41.504,-16.602,-27.344
1866.336,-385.254,128.418,50.293,33.203,-104.98
1866.34,-48.828,201.66,53.711,56.152,-170.898
1866.344,-373.047,23.926,47.852,52.246,25.391
1866.348,-760.742,-131.348,30.273,55.176,53.223
1866.352,-456.055,-33.691,28.32,18.555,-87.402
1866.356,42.969,107.422,30.762,16.602,-38.086
1866.359,-216.797,-31.25,21.973,54.199,106.445
1866.363,-651.367,-271.484,17.578,33.691,244.629
1866.367,-571.289,35.156,27.832,-16.113,-63.477
1866.371,-196.289,218.262,32.227,11.23,-222.656
1866.375,-131.348,46.875,31.25,27.344,-43.945
1866.378,-557.617,-35.645,30.762,-14.16,-67.871
1866.382,-647.461,-74.707,25.879,-18.066,-218.262
1866.386,-137.695,-38.086,25.879,16.602,-166.504
1866.39,-7.812,-177.734,22.949,41.504,219.238
1866.394,-464.844,-309.57,19.531,26.855,218.262
1866.398,-703.613,-100.098,31.25,1.465,-58.594
1866.402,-436.035,-19.043,34.18,20.02,-110.84
1866.405,-40.527,-171.875,32.227,66.406,115.723
1866.409,-270.508,-146.973,36.133,70.312,249.023
1866.413,-711.914,95.215,35.645,22.949,-119.141
1866.417,-470.215,-39.062,31.25,38.086,-181.152
1866.421,-37.598,-50.781,36.133,88.379,-106.934
1866.423,-118.652,50.781,42.969,75.684,-104.004
1866.427,-508.301,-23.926,25.391,41.992,-147.461
